nota_url,nota_titulo,nota_fecha_disponible
https://www.lanacion.com.ar/agencias/ons-jabeur-pierde-ante-noskova-en-semifinal-de-adelaide-nid07012023/,Ons Jabeur pierde ante Noskova en semifinal de Adelaide,2023-01-07T10:10:44
https://www.lanacion.com.ar/agencias/el-real-madrid-se-estrella-con-empate-1-1-con-osasuna-nid02102022/,El Real Madrid se estrella con empate 1-1 con Osasuna,2022-10-02T18:38:25
https://www.lanacion.com.ar/agencias/japon-derrota-a-costa-rica-2-0-con-dos-goles-en-2-minutos-en-el-mundial-nid26072023/,Japón derrota a Costa Rica 2-0 con dos goles en 2 minutos en el Mundial,2023-07-26T04:50:33
https://www.lanacion.com.ar/agencias/problemas-con-covid-impiden-jugar-el-nacionales-filis-nid28072021/,Problemas con COVID impiden jugar el Nacionales-Filis,2021-07-28T19:52:57
https://www.lanacion.com.ar/agencias/los-angeles-7-bomberos-heridos-tras-explosion-del-tanque-de-gas-de-un-camion-nid15022024/,Los Ángeles: 7 bomberos heridos tras explosión del tanque de gas de un camión,2024-02-15T17:31:26
https://www.lanacion.com.ar/agencias/curry-y-thompson-impulsan-a-warriors-ante-wolves-nid28012022/,Curry y Thompson impulsan a Warriors ante Wolves,2022-01-28T03:37:59
https://www.lanacion.com.ar/agencias/benavidez-vence-a-andrade-tras-6-rounds-y-pide-pelea-contra-aposcaneloapos-campeon-supermediano-nid26112023/,"Benavidez vence a Andrade tras 6 rounds y pide pelea contra &apos;Canelo&apos;, campeón supermediano",2023-11-26T03:30:58
https://www.lanacion.com.ar/agencias/el-papa-condena-ataques-en-gran-bretana-afganistan-noruega-nid17102021/,"El papa condena ataques en Gran Bretaña, Afganistán, Noruega",2021-10-17T09:52:32
https://www.lanacion.com.ar/agencias/eeuu-viajeros-enfrentan-cancelaciones-de-vuelos-nid28052022/,EEUU: Viajeros enfrentan cancelaciones de vuelos,2022-05-28T22:54:36
https://www.lanacion.com.ar/agencias/galp-y-powin-construiran-un-sistema-de-almacenamiento-de-energia-a-gran-escala-en-portugal-nid07022024/,Galp y Powin construirán un sistema de almacenamiento de energía a gran escala en Portugal,2024-02-07T11:41:00
